employee_id,name,department,level,city,age,years_at_company,salary,bonus,total_comp,performance_score,remote_ratio,overtime_hours,training_hours,fte
EMP00065,Laura Enache,Finance,Mid,Cluj-Napoca,32,2,12047.0,1295.0,13342.0,3.8,33,2,38,1.0
EMP00066,Alex Ionescu,Data,Lead,Cluj-Napoca,34,13,20617.0,1978.0,22595.0,2.82,74,5,24,1.0
EMP00067,Daniela Vasilescu,Finance,Junior,Brasov,24,0,11611.0,875.0,12486.0,2.74,46,6,18,1.0
EMP00068,Daniela Stan,Product,Mid,Bucharest,39,5,21648.0,1394.0,23042.0,3.08,56,3,35,1.0
EMP00069,Elena Georgescu,Procurement,Mid,Pitesti,33,9,7724.0,54.0,7778.0,4.87,48,0,20,1.0
EMP00070,Gabriel Enache,Data,Mid,Constanta,28,2,11636.0,251.0,11887.0,4.09,63,1,33,1.0
EMP00071,Gabriel Dumitru,Compliance,Mid,Constanta,25,4,6927.0,630.0,7557.0,3.4,77,2,32,1.0
EMP00072,Calin Ionescu,Product,Junior,Cluj-Napoca,24,3,14382.0,1027.0,15409.0,3.22,58,4,36,1.0
EMP00073,Daniela Petrescu,Marketing,Mid,Cluj-Napoca,34,7,11478.0,1236.0,12714.0,4.14,54,7,15,1.0
EMP00074,Monica Stan,Sales,Mid,Iasi,28,7,18746.0,522.0,19268.0,4.23,28,4,24,1.0
EMP00075,Laura Dumitru,Operations,Senior,Constanta,33,9,20675.0,3557.0,24232.0,4.19,16,8,17,1.0
EMP00076,Stefan Ilie,Customer Success,Mid,Bucharest,34,5,12196.0,226.0,12422.0,3.35,34,6,30,1.0
EMP00077,Mirela Dumitru,Marketing,Mid,Cluj-Napoca,34,8,15533.0,726.0,16259.0,3.73,79,0,24,1.0
EMP00078,Iulia Vasilescu,Marketing,Junior,Bucharest,31,3,6211.0,324.0,6535.0,2.77,49,0,26,0.7
EMP00079,Alex Dumitru,Customer Success,Junior,Oradea,30,2,7770.0,754.0,8524.0,2.88,59,6,27,1.0
EMP00080,Denis Petrescu,Procurement,Mid,Pitesti,39,5,9801.0,817.0,10618.0,2.63,64,6,26,1.0
EMP00081,Ana Vasilescu,Sales,Mid,Bucharest,31,5,12273.0,816.0,13089.0,4.79,59,5,37,1.0
EMP00082,Stefan Dumitru,Sales,Junior,Iasi,23,2,7111.0,589.0,7700.0,3.34,68,7,21,1.0
EMP00083,Ioana Enache,Operations,Mid,Bucharest,25,4,18357.0,134.0,18491.0,3.53,29,2,31,1.0
EMP00084,Laura Petrescu,Marketing,Senior,Pitesti,43,5,19842.0,3556.0,23398.0,4.43,67,3,28,1.0
EMP00085,Cristian Petrescu,Legal,Mid,Bucharest,30,2,19093.0,1445.0,20538.0,3.35,36,0,28,1.0
EMP00086,Stefan Voicu,Engineering,Senior,Iasi,36,8,34609.0,2863.0,37472.0,3.61,77,9,21,1.0
EMP00087,Vlad Petrescu,Procurement,Senior,Iasi,35,5,21273.0,1585.0,22858.0,3.15,8,3,25,1.0
EMP00088,Ioana Dumitru,Procurement,Junior,Craiova,30,3,7950.0,542.0,8492.0,3.41,53,2,30,1.0
EMP00089,Calin Georgescu,Operations,Mid,Bucharest,26,5,18501.0,1760.0,20261.0,3.34,33,11,23,1.0
EMP00090,Bianca Petrescu,Finance,Mid,Cluj-Napoca,26,3,13005.0,1084.0,14089.0,3.94,34,2,29,0.8
EMP00091,Bianca Stoica,Finance,Junior,Iasi,23,2,9152.0,930.0,10082.0,3.91,8,2,30,1.0
EMP00092,Laura Vasilescu,Engineering,Mid,Remote,32,8,16516.0,320.0,16836.0,4.13,65,1,30,1.0
EMP00093,Ioana Luca,Legal,Mid,Pitesti,27,4,14414.0,1098.0,15512.0,3.77,22,0,26,1.0
EMP00094,Ioana Ilie,Marketing,Senior,Sibiu,34,6,10992.0,1102.0,12094.0,3.73,53,0,13,1.0
EMP00095,Alex Stan,Data,Junior,Timisoara,22,1,17456.0,1233.0,18689.0,3.82,80,2,22,1.0
EMP00096,Daniela Dobre,Data,Junior,Sibiu,31,3,9445.0,986.0,10431.0,4.25,84,3,42,1.0
EMP00097,Mirela Enache,Marketing,Lead,Bucharest,47,14,36110.0,2360.0,38470.0,3.29,36,5,13,1.0
EMP00098,Iulia Luca,Finance,Mid,Brasov,34,3,11685.0,777.0,12462.0,3.94,16,2,26,1.0
EMP00099,Denis Petrescu,Engineering,Junior,Bucharest,26,1,14274.0,750.0,15024.0,3.6,65,6,20,1.0
EMP00100,Monica Vasilescu,Product,Senior,Iasi,33,6,13343.0,1647.0,14990.0,4.74,41,5,41,1.0
EMP00101,Laura Georgescu,Engineering,Junior,Constanta,24,2,11193.0,362.0,11555.0,4.49,100,0,18,1.0
EMP00102,Bianca Voicu,Security,Lead,Cluj-Napoca,51,12,33961.0,3073.0,37034.0,3.61,26,4,18,1.0
EMP00103,Radu Stan,Marketing,Junior,Pitesti,24,1,11031.0,785.0,11816.0,3.43,53,7,15,1.0
EMP00104,Monica Matei,Marketing,Senior,Brasov,35,6,12884.0,2051.0,14935.0,3.68,33,4,22,1.0
EMP00105,Ioana Ilie,Legal,Mid,Remote,37,7,15622.0,541.0,16163.0,3.85,30,4,28,1.0
EMP00106,Radu Vasilescu,Security,Junior,Bucharest,23,2,14726.0,531.0,15257.0,3.7,32,5,23,0.62
EMP00107,Monica Enache,Sales,Mid,Bucharest,27,6,24269.0,1307.0,25576.0,4.14,13,4,17,1.0
EMP00108,Cristian Dobre,Legal,Senior,Remote,37,12,20094.0,2234.0,22328.0,3.95,20,5,38,1.0
EMP00109,Calin Voicu,Data,Senior,Timisoara,34,12,27808.0,3189.0,30997.0,3.29,75,1,20,1.0
EMP00110,Radu Enache,Legal,Junior,Oradea,23,1,14170.0,748.0,14918.0,4.46,0,0,29,1.0
EMP00111,Daniela Petrescu,Customer Success,Mid,Craiova,26,5,14410.0,1424.0,15834.0,3.79,67,2,31,1.0
EMP00112,Calin Stan,Customer Success,Mid,Cluj-Napoca,30,6,14891.0,1054.0,15945.0,4.29,45,5,13,1.0
EMP00113,Daniela Voicu,Product,Senior,Iasi,38,10,16857.0,1770.0,18627.0,3.6,100,6,24,1.0
EMP00114,Mihai Dobre,HR,Junior,Pitesti,25,3,4755.0,0.0,4755.0,2.61,55,7,19,1.0
EMP00115,Monica Georgescu,Customer Success,Senior,Cluj-Napoca,48,6,21894.0,1943.0,23837.0,3.78,100,7,42,1.0
EMP00116,Iulia Luca,Engineering,Mid,Cluj-Napoca,31,4,11757.0,1053.0,12810.0,3.08,92,7,27,0.77
EMP00117,Alex Stoica,Data,Senior,Timisoara,37,11,15060.0,1705.0,16765.0,3.59,47,0,39,1.0
EMP00118,Calin Voicu,HR,Junior,Bucharest,24,3,6107.0,694.0,6801.0,4.32,69,4,32,1.0
EMP00119,Bianca Stan,Marketing,Mid,Oradea,37,6,9953.0,830.0,10783.0,3.59,29,4,27,1.0
EMP00120,Cristian Ilie,Product,Senior,Bucharest,48,13,30655.0,4374.0,35029.0,3.7,89,4,33,1.0
EMP00121,Calin Luca,HR,Junior,Sibiu,28,2,9454.0,406.0,9860.0,4.75,37,2,26,1.0
EMP00122,Cristian Stoica,Finance,Junior,Sibiu,30,3,10449.0,539.0,10988.0,4.23,14,2,40,1.0
EMP00123,Stefan Dobre,Data,Junior,Iasi,25,1,12648.0,1189.0,13837.0,3.14,73,3,19,1.0
EMP00124,Calin Marin,Marketing,Junior,Timisoara,29,4,12527.0,494.0,13021.0,3.59,21,8,21,1.0
EMP00125,Monica Popescu,Finance,Junior,Craiova,25,2,12917.0,646.0,13563.0,2.74,22,5,41,1.0
EMP00126,Vlad Dobre,Product,Junior,Oradea,22,1,6888.0,0.0,6888.0,3.79,80,6,26,1.0
EMP00127,Daniela Enache,Compliance,Junior,Oradea,23,1,9986.0,311.0,10297.0,3.9,67,2,17,1.0
EMP00128,Ana Ilie,Operations,Junior,Iasi,22,1,9383.0,591.0,9974.0,4.12,40,1,31,1.0
EMP00129,Andrei Enache,Marketing,Mid,Remote,25,4,8649.0,467.0,9116.0,4.37,61,3,36,1.0
EMP00130,Andrei Ionescu,Engineering,Senior,Oradea,37,8,22192.0,1731.0,23923.0,3.67,80,3,21,1.0
EMP00131,Alex Marin,HR,Mid,Bucharest,27,5,16449.0,0.0,16449.0,4.44,38,0,25,1.0
EMP00132,Cristian Luca,Sales,Junior,Constanta,30,3,14648.0,899.0,15547.0,2.41,34,9,6,1.0
EMP00133,Radu Luca,Product,Mid,Oradea,34,8,20890.0,461.0,21351.0,3.61,78,0,16,1.0
EMP00134,Teodora Stoica,Marketing,Senior,Craiova,40,8,22462.0,291.0,22753.0,3.35,64,4,27,1.0
EMP00135,Mihai Stoica,Customer Success,Mid,Bucharest,29,8,11105.0,1191.0,12296.0,3.68,10,8,10,1.0
EMP00136,Monica Ilie,Marketing,Junior,Brasov,22,0,7237.0,439.0,7676.0,3.83,59,0,25,1.0
EMP00137,Iulia Ionescu,Operations,Junior,Timisoara,22,1,12875.0,298.0,13173.0,4.55,57,12,14,1.0
EMP00138,Stefan Voicu,Sales,Mid,Remote,27,6,10770.0,965.0,11735.0,3.09,39,6,16,1.0
EMP00139,Ioana Dumitru,Engineering,Senior,Iasi,50,6,20295.0,2758.0,23053.0,4.16,83,6,17,1.0
EMP00140,Alex Dumitru,Marketing,Junior,Arad,26,0,11183.0,1641.0,12824.0,3.03,58,2,20,1.0
EMP00141,Mihai Popescu,Data,Lead,Remote,41,18,27597.0,3096.0,30693.0,4.56,84,3,38,1.0
EMP00142,Radu Petrescu,Data,Mid,Sibiu,39,6,20017.0,2572.0,22589.0,3.6,55,3,15,1.0
EMP00143,Daniela Matei,Customer Success,Junior,Bucharest,24,3,12039.0,549.0,12588.0,3.24,34,0,37,1.0
EMP00144,Laura Stan,Product,Mid,Sibiu,28,7,9164.0,244.0,9408.0,3.04,6,2,20,1.0
EMP00145,Elena Stoica,Product,Mid,Iasi,32,4,16153.0,1090.0,17243.0,3.85,54,7,27,1.0
EMP00146,Laura Vasilescu,R&D,Mid,Cluj-Napoca,39,8,28723.0,2064.0,30787.0,4.17,75,5,35,1.0
EMP00147,Radu Dobre,Finance,Mid,Bucharest,27,6,12793.0,1390.0,14183.0,3.59,6,1,42,1.0
EMP00148,Mirela Ilie,Engineering,Senior,Bucharest,29,5,18911.0,1752.0,20663.0,3.35,45,2,20,1.0
EMP00149,Vlad Ilie,Product,Senior,Bucharest,36,15,30346.0,3046.0,33392.0,3.68,93,4,44,0.74
EMP00150,Andrei Dumitru,Sales,Mid,Cluj-Napoca,30,7,20057.0,930.0,20987.0,2.78,65,3,26,1.0
EMP00151,Cristian Ilie,Business Intelligence,Senior,Remote,43,9,10593.0,472.0,11065.0,3.48,58,6,21,1.0
EMP00152,Cristian Stoica,Marketing,Senior,Bucharest,48,4,13294.0,900.0,14194.0,4.23,34,0,19,1.0
EMP00153,Bianca Enache,Finance,Senior,Bucharest,38,13,18469.0,3207.0,21676.0,3.78,0,3,32,1.0
EMP00154,Stefan Luca,Marketing,Junior,Pitesti,24,3,8841.0,480.0,9321.0,3.1,74,3,28,1.0
EMP00155,Mirela Marin,Customer Success,Lead,Timisoara,47,7,20555.0,3892.0,24447.0,3.82,50,8,31,1.0
EMP00156,Ana Voicu,Product,Junior,Arad,28,4,14531.0,1016.0,15547.0,3.64,59,4,17,1.0
EMP00157,Andrei Ilie,Procurement,Mid,Constanta,27,6,8964.0,1216.0,10180.0,3.84,21,7,19,1.0
EMP00158,Alex Vasilescu,Data,Senior,Cluj-Napoca,33,5,35952.0,0.0,35952.0,3.5,63,0,32,0.66
EMP00159,Calin Dobre,Customer Success,Mid,Bucharest,30,2,13314.0,931.0,14245.0,3.04,43,4,34,1.0
EMP00160,Mihai Voicu,Engineering,Mid,Pitesti,37,6,13525.0,1319.0,14844.0,4.07,70,1,34,1.0
EMP00161,Monica Luca,Engineering,Mid,Cluj-Napoca,34,6,13946.0,929.0,14875.0,4.39,51,2,35,1.0
EMP00162,Mirela Dumitru,Finance,Lead,Oradea,53,12,16895.0,1316.0,18211.0,3.09,41,6,28,1.0
EMP00163,Vlad Voicu,Legal,Mid,Iasi,29,4,11878.0,1508.0,13386.0,4.32,31,0,20,1.0
EMP00164,Cristian Matei,Compliance,Mid,Sibiu,35,3,9471.0,660.0,10131.0,4.1,54,7,28,1.0
EMP00165,Daniela Stan,Finance,Senior,Bucharest,49,12,27028.0,2329.0,29357.0,4.54,28,4,29,1.0
EMP00166,Iulia Luca,Customer Success,Mid,Iasi,39,7,16402.0,328.0,16730.0,3.19,33,4,27,1.0
EMP00167,Calin Enache,Data,Senior,Brasov,38,6,33653.0,4564.0,38217.0,3.75,89,7,12,0.8
EMP00168,Iulia Vasilescu,HR,Junior,Constanta,29,1,6764.0,251.0,7015.0,3.55,41,5,22,1.0
EMP00169,Andrei Petrescu,Business Intelligence,Mid,Timisoara,32,9,13072.0,0.0,13072.0,4.17,55,2,26,1.0
EMP00170,Stefan Petrescu,R&D,Mid,Remote,35,8,24695.0,1412.0,26107.0,3.89,61,4,29,1.0
EMP00171,Vlad Dumitru,HR,Mid,Oradea,27,3,13291.0,1127.0,14418.0,4.57,11,4,27,1.0
EMP00172,Ioana Georgescu,Operations,Junior,Timisoara,23,2,9813.0,101.0,9914.0,2.82,22,6,18,1.0
EMP00173,Denis Georgescu,Data,Mid,Timisoara,28,6,14270.0,2085.0,16355.0,3.65,78,6,38,1.0
EMP00174,Mihai Petrescu,HR,Junior,Sibiu,26,0,8632.0,1094.0,9726.0,3.27,7,3,28,1.0
EMP00175,Ioana Marin,Engineering,Lead,Bucharest,56,16,21920.0,949.0,22869.0,3.57,81,7,25,1.0
EMP00176,Monica Marin,Legal,Mid,Bucharest,38,9,21293.0,0.0,21293.0,3.61,23,3,16,1.0
EMP00177,Vlad Ilie,Marketing,Senior,Brasov,31,5,19731.0,1776.0,21507.0,3.53,35,5,36,1.0
EMP00178,Denis Vasilescu,Sales,Mid,Ploiesti,31,7,15805.0,468.0,16273.0,4.15,54,8,29,0.72
EMP00179,Daniela Voicu,Legal,Mid,Bucharest,35,4,16448.0,206.0,16654.0,3.35,34,14,23,1.0
EMP00180,Teodora Popescu,Operations,Senior,Sibiu,39,11,17181.0,2529.0,19710.0,3.44,17,11,32,1.0
EMP00181,Alex Luca,Procurement,Mid,Cluj-Napoca,33,5,12895.0,299.0,13194.0,3.23,14,6,30,1.0
EMP00182,Andrei Petrescu,Engineering,Mid,Constanta,27,2,18676.0,641.0,19317.0,3.08,65,0,17,1.0
EMP00183,Bianca Luca,Business Intelligence,Mid,Galati,34,8,8023.0,832.0,8855.0,4.55,51,2,23,1.0
EMP00184,Mihai Ionescu,Procurement,Lead,Cluj-Napoca,52,21,29903.0,2865.0,32768.0,3.01,26,0,33,1.0
EMP00185,Ioana Popescu,Product,Mid,Bucharest,33,7,26097.0,1740.0,27837.0,3.42,72,0,31,1.0
EMP00186,Andrei Marin,Engineering,Senior,Craiova,30,9,21696.0,2030.0,23726.0,4.17,82,4,39,1.0
EMP00187,Alex Marin,R&D,Junior,Bucharest,25,3,8904.0,499.0,9403.0,3.21,66,7,27,1.0
EMP00188,Mihai Luca,Product,Senior,Ploiesti,43,6,25607.0,3258.0,28865.0,2.78,76,3,44,1.0
EMP00189,Daniela Stan,Customer Success,Junior,Oradea,26,4,7335.0,580.0,7915.0,4.07,12,3,31,1.0
EMP00190,Denis Matei,Operations,Senior,Galati,43,9,10074.0,1278.0,11352.0,3.82,29,8,23,1.0
EMP00191,Cristian Dobre,Engineering,Mid,Bucharest,30,8,14372.0,390.0,14762.0,4.13,53,2,20,1.0
EMP00192,Ana Luca,Marketing,Junior,Cluj-Napoca,27,2,13171.0,686.0,13857.0,2.98,66,1,31,1.0
EMP00193,Denis Marin,Finance,Junior,Constanta,28,3,11976.0,1197.0,13173.0,3.21,15,6,19,1.0
EMP00194,Vlad Petrescu,Engineering,Mid,Iasi,32,7,28248.0,1568.0,29816.0,4.18,68,3,16,1.0
EMP00195,Monica Dumitru,Data,Junior,Brasov,29,1,17620.0,542.0,18162.0,3.41,60,2,12,1.0
EMP00196,Teodora Stoica,Compliance,Senior,Iasi,43,11,23834.0,3573.0,27407.0,4.59,71,2,16,1.0
EMP00197,Monica Vasilescu,Product,Senior,Bucharest,44,4,32514.0,5585.0,38099.0,4.1,89,4,23,1.0
EMP00198,Daniela Matei,Compliance,Mid,Ploiesti,26,5,15360.0,0.0,15360.0,3.92,37,5,27,1.0
EMP00199,Monica Dobre,Operations,Mid,Brasov,26,5,11324.0,689.0,12013.0,3.65,11,7,21,1.0
EMP00200,Laura Dobre,Procurement,Mid,Iasi,33,5,7719.0,596.0,8315.0,3.63,63,0,21,1.0
EMP00201,Elena Dobre,Procurement,Senior,Bucharest,35,9,18568.0,1736.0,20304.0,4.09,0,5,33,1.0
EMP00202,Vlad Marin,R&D,Senior,Sibiu,48,16,36040.0,4066.0,40106.0,3.55,100,1,7,1.0
EMP00203,Stefan Enache,HR,Junior,Sibiu,31,4,6312.0,355.0,6667.0,3.99,21,5,30,1.0
EMP00204,Alex Dobre,Security,Lead,Bucharest,50,6,17115.0,1338.0,18453.0,3.46,60,6,43,1.0
EMP00205,Alex Vasilescu,Sales,Mid,Sibiu,36,7,17403.0,277.0,17680.0,3.89,42,0,24,1.0
EMP00206,Gabriel Dumitru,Engineering,Junior,Bucharest,29,1,10199.0,834.0,11033.0,4.01,76,7,26,1.0
EMP00207,Andrei Voicu,Sales,Junior,Iasi,26,4,15863.0,601.0,16464.0,2.76,0,1,20,1.0
EMP00208,Cristian Matei,Operations,Lead,Timisoara,57,14,13159.0,1324.0,14483.0,3.12,18,4,31,1.0
EMP00209,Mirela Stoica,Engineering,Mid,Pitesti,31,5,24339.0,2442.0,26781.0,2.73,72,0,22,1.0
EMP00210,Mirela Petrescu,Engineering,Mid,Bucharest,28,2,14202.0,1184.0,15386.0,3.82,72,5,21,1.0
EMP00211,Mihai Voicu,Operations,Lead,Bucharest,54,18,20302.0,1041.0,21343.0,4.18,3,10,37,1.0
EMP00212,Mihai Marin,HR,Mid,Cluj-Napoca,26,2,11296.0,0.0,11296.0,3.38,40,5,32,1.0
EMP00213,Ioana Matei,Finance,Mid,Bucharest,38,9,13996.0,1055.0,15051.0,4.63,27,7,19,0.68
EMP00214,Stefan Petrescu,Marketing,Junior,Cluj-Napoca,24,0,6818.0,567.0,7385.0,3.71,0,5,28,1.0
EMP00215,Mihai Vasilescu,Operations,Junior,Iasi,23,2,11334.0,1085.0,12419.0,3.79,57,6,36,1.0
EMP00216,Vlad Stoica,Engineering,Mid,Bucharest,26,5,14320.0,1080.0,15400.0,3.65,53,5,9,1.0
EMP00217,Stefan Luca,Finance,Senior,Brasov,50,4,14539.0,1909.0,16448.0,3.6,12,3,31,1.0
EMP00218,Bianca Enache,Procurement,Senior,Timisoara,47,13,16024.0,2899.0,18923.0,3.59,17,7,29,1.0
EMP00219,Bianca Stan,Marketing,Mid,Bucharest,37,6,17610.0,1241.0,18851.0,3.53,85,5,35,1.0
EMP00220,Gabriel Dumitru,Sales,Mid,Brasov,40,3,19348.0,1477.0,20825.0,4.09,51,6,20,1.0
EMP00221,Radu Dobre,Customer Success,Junior,Sibiu,28,0,5312.0,347.0,5659.0,3.54,32,6,17,1.0
EMP00222,Bianca Dumitru,Engineering,Mid,Bucharest,25,4,20564.0,1343.0,21907.0,3.6,67,1,23,1.0
EMP00223,Ioana Ilie,Customer Success,Junior,Bucharest,22,0,10618.0,1025.0,11643.0,3.63,38,3,20,1.0
EMP00224,Iulia Ionescu,Sales,Senior,Bucharest,46,16,21704.0,1658.0,23362.0,4.66,58,10,34,1.0
EMP00225,Bianca Voicu,R&D,Mid,Bucharest,35,7,29516.0,2318.0,31834.0,3.7,55,6,33,1.0
